started
2017-1-15T11.19.29.71	Created parser
2017-1-15T11.19.29.72	Assigned names - going to load data
2017-1-15T11.19.29.72	Loading data
2017-1-15T11.19.29.72	Creating stop words manager
2017-1-15T11.19.29.74	Before big loop
2017-1-15T11.19.29.198	Opening sw stream with some words
2017-1-15T11.19.29.198	finalizing stats
2017-1-15T11.19.29.205	At line '53' in file ''	 Word prevail is in 1 documents
2017-1-15T11.19.29.205	At line '53' in file ''	 Word normal is in 1 documents
2017-1-15T11.19.29.205	At line '53' in file ''	 Word emergenc is in 1 documents
2017-1-15T11.19.29.205	At line '53' in file ''	 Word praeter is in 1 documents
2017-1-15T11.19.29.205	At line '53' in file ''	 Word legem is in 1 documents
2017-1-15T11.19.29.205	At line '53' in file ''	 Word secundum is in 1 documents
2017-1-15T11.19.29.206	At line '53' in file ''	 Word consuetudo is in 1 documents
2017-1-15T11.19.29.206	At line '53' in file ''	 Word confin is in 1 documents
2017-1-15T11.19.29.206	At line '53' in file ''	 Word crystal is in 1 documents
2017-1-15T11.19.29.206	At line '53' in file ''	 Word decisi is in 1 documents
2017-1-15T11.19.29.206	At line '53' in file ''	 Word stare is in 1 documents
2017-1-15T11.19.29.207	At line '53' in file ''	 Word persuas is in 1 documents
2017-1-15T11.19.29.207	At line '53' in file ''	 Word brownli is in 1 documents
2017-1-15T11.19.29.207	At line '53' in file ''	 Word immateri is in 1 documents
2017-1-15T11.19.29.207	At line '53' in file ''	 Word classifi is in 1 documents
2017-1-15T11.19.29.207	At line '53' in file ''	 Word iuri is in 1 documents
2017-1-15T11.19.29.208	At line '53' in file ''	 Word opinio is in 1 documents
2017-1-15T11.19.29.208	At line '53' in file ''	 Word obligatori is in 1 documents
2017-1-15T11.19.29.209	At line '53' in file ''	 Word adher is in 1 documents
2017-1-15T11.19.29.210	At line '53' in file ''	 Word concurr is in 1 documents
2017-1-15T11.19.29.210	At line '53' in file ''	 Word subordin is in 1 documents
2017-1-15T11.19.29.210	At line '53' in file ''	 Word legitim is in 1 documents
2017-1-15T11.19.29.210	At line '53' in file ''	 Word foreign is in 2 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word restat is in 2 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word internat is in 1 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word stand is in 1 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word treat is in 1 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word declaratori is in 1 documents
2017-1-15T11.19.29.211	At line '53' in file ''	 Word recognit is in 1 documents
2017-1-15T11.19.29.212	At line '53' in file ''	 Word spontan is in 1 documents
2017-1-15T11.19.29.212	At line '53' in file ''	 Word enact is in 1 documents
2017-1-15T11.19.29.212	At line '53' in file ''	 Word nonverb is in 1 documents
2017-1-15T11.19.29.212	At line '53' in file ''	 Word capabl is in 1 documents
2017-1-15T11.19.29.212	At line '53' in file ''	 Word selfregulatori is in 1 documents
2017-1-15T11.19.29.213	At line '53' in file ''	 Word inher is in 1 documents
2017-1-15T11.19.29.217	At line '53' in file ''	 Word rentseek is in 1 documents
2017-1-15T11.19.29.217	At line '53' in file ''	 Word difficulti is in 1 documents
2017-1-15T11.19.29.217	At line '53' in file ''	 Word stateenforc is in 1 documents
2017-1-15T11.19.29.218	At line '53' in file ''	 Word interplay is in 1 documents
2017-1-15T11.19.29.218	At line '53' in file ''	 Word spatial is in 1 documents
2017-1-15T11.19.29.219	At line '53' in file ''	 Word judiciari is in 1 documents
2017-1-15T11.19.29.219	At line '53' in file ''	 Word exact is in 1 documents
2017-1-15T11.19.29.219	At line '53' in file ''	 Word complaint is in 1 documents
2017-1-15T11.19.29.219	At line '53' in file ''	 Word random is in 1 documents
2017-1-15T11.19.29.219	At line '53' in file ''	 Word bureaucrat is in 1 documents
2017-1-15T11.19.29.220	At line '53' in file ''	 Word do is in 1 documents
2017-1-15T11.19.29.220	At line '53' in file ''	 Word discret is in 1 documents
2017-1-15T11.19.29.220	At line '53' in file ''	 Word curb is in 1 documents
2017-1-15T11.19.29.220	At line '53' in file ''	 Word deleg is in 2 documents
2017-1-15T11.19.29.221	At line '53' in file ''	 Word bureaucraci is in 2 documents
2017-1-15T11.19.29.221	At line '53' in file ''	 Word p is in 1 documents
2017-1-15T11.19.29.221	At line '53' in file ''	 Word embarrass is in 1 documents
2017-1-15T11.19.29.221	At line '53' in file ''	 Word mysteri is in 1 documents
2017-1-15T11.19.29.221	At line '53' in file ''	 Word heart is in 1 documents
2017-1-15T11.19.29.222	At line '53' in file ''	 Word multijudg is in 1 documents
2017-1-15T11.19.29.222	At line '53' in file ''	 Word lawyer is in 1 documents
2017-1-15T11.19.29.222	At line '53' in file ''	 Word drive is in 1 documents
2017-1-15T11.19.29.223	At line '53' in file ''	 Word indeed is in 1 documents
2017-1-15T11.19.29.223	At line '53' in file ''	 Word devis is in 1 documents
2017-1-15T11.19.29.223	At line '53' in file ''	 Word evolutionari is in 1 documents
2017-1-15T11.19.29.223	At line '53' in file ''	 Word constrain is in 1 documents
2017-1-15T11.19.29.224	At line '53' in file ''	 Word putat is in 1 documents
2017-1-15T11.19.29.224	At line '53' in file ''	 Word posner is in 1 documents
2017-1-15T11.19.29.224	At line '53' in file ''	 Word conjectur is in 1 documents
2017-1-15T11.19.29.225	At line '53' in file ''	 Word art is in 1 documents
2017-1-15T11.19.29.225	At line '53' in file ''	 Word directdemocrat is in 1 documents
2017-1-15T11.19.29.226	At line '53' in file ''	 Word bicamer is in 1 documents
2017-1-15T11.19.29.226	At line '53' in file ''	 Word unicamer is in 1 documents
2017-1-15T11.19.29.226	At line '53' in file ''	 Word transit is in 1 documents
2017-1-15T11.19.29.226	At line '53' in file ''	 Word retroact is in 1 documents
2017-1-15T11.19.29.227	At line '53' in file ''	 Word preexist is in 1 documents
2017-1-15T11.19.29.227	At line '53' in file ''	 Word accuraci is in 1 documents
2017-1-15T11.19.29.227	At line '53' in file ''	 Word conform is in 1 documents
2017-1-15T11.19.29.227	At line '53' in file ''	 Word dissemin is in 1 documents
2017-1-15T11.19.29.228	At line '53' in file ''	 Word adjud is in 1 documents
2017-1-15T11.19.29.228	At line '53' in file ''	 Word promulg is in 1 documents
2017-1-15T11.19.29.228	At line '53' in file ''	 Word command is in 1 documents
2017-1-15T11.19.29.229	At line '53' in file ''	 Word embodi is in 1 documents
2017-1-15T11.19.29.229	At line '53' in file ''	 Word precis is in 1 documents
2017-1-15T11.19.29.229	At line '53' in file ''	 Word unexplor is in 1 documents
2017-1-15T11.19.29.229	At line '53' in file ''	 Word analys is in 1 documents
2017-1-15T11.19.29.229	At line '53' in file ''	 Word previous is in 1 documents
2017-1-15T11.19.29.230	At line '53' in file ''	 Word unusu is in 1 documents
2017-1-15T11.19.29.230	At line '53' in file ''	 Word span is in 1 documents
2017-1-15T11.19.29.230	At line '53' in file ''	 Word persist is in 1 documents
2017-1-15T11.19.29.230	At line '53' in file ''	 Word real is in 3 documents
2017-1-15T11.19.29.230	At line '53' in file ''	 Word supervisor is in 1 documents
2017-1-15T11.19.29.231	At line '53' in file ''	 Word outsid is in 1 documents
2017-1-15T11.19.29.231	At line '53' in file ''	 Word collus is in 1 documents
2017-1-15T11.19.29.231	At line '53' in file ''	 Word archetyp is in 1 documents
2017-1-15T11.19.29.231	At line '53' in file ''	 Word corrupt is in 1 documents
2017-1-15T11.19.29.231	At line '53' in file ''	 Word proprietari is in 1 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word asymmetr is in 2 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word ordinari is in 1 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word influenti is in 1 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word rehabilit is in 1 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word offend is in 1 documents
2017-1-15T11.19.29.232	At line '53' in file ''	 Word recidiv is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word organiz is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word parol is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word publish is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word prison is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word scan is in 1 documents
2017-1-15T11.19.29.233	At line '53' in file ''	 Word operation is in 1 documents
2017-1-15T11.19.29.234	At line '53' in file ''	 Word equat is in 1 documents
2017-1-15T11.19.29.234	At line '53' in file ''	 Word identif is in 1 documents
2017-1-15T11.19.29.234	At line '53' in file ''	 Word statist is in 1 documents
2017-1-15T11.19.29.234	At line '53' in file ''	 Word crime is in 3 documents
2017-1-15T11.19.29.235	At line '53' in file ''	 Word hypothesi is in 2 documents
2017-1-15T11.19.29.235	At line '53' in file ''	 Word corrobor is in 1 documents
2017-1-15T11.19.29.235	At line '53' in file ''	 Word campus is in 1 documents
2017-1-15T11.19.29.235	At line '53' in file ''	 Word region is in 1 documents
2017-1-15T11.19.29.236	At line '53' in file ''	 Word regress is in 1 documents
2017-1-15T11.19.29.236	At line '53' in file ''	 Word portfolio is in 1 documents
2017-1-15T11.19.29.236	At line '53' in file ''	 Word illeg is in 2 documents
2017-1-15T11.19.29.236	At line '53' in file ''	 Word assum is in 1 documents
2017-1-15T11.19.29.237	At line '53' in file ''	 Word incapacit is in 1 documents
2017-1-15T11.19.29.237	At line '53' in file ''	 Word offens is in 1 documents
2017-1-15T11.19.29.237	At line '53' in file ''	 Word selfreport is in 1 documents
2017-1-15T11.19.29.237	At line '53' in file ''	 Word mistak is in 1 documents
2017-1-15T11.19.29.238	At line '53' in file ''	 Word accident is in 1 documents
2017-1-15T11.19.29.238	At line '53' in file ''	 Word detect is in 1 documents
2017-1-15T11.19.29.238	At line '53' in file ''	 Word prosecutor is in 1 documents
2017-1-15T11.19.29.238	At line '53' in file ''	 Word polic is in 2 documents
2017-1-15T11.19.29.238	At line '53' in file ''	 Word auditor is in 1 documents
2017-1-15T11.19.29.239	At line '53' in file ''	 Word inspector is in 1 documents
2017-1-15T11.19.29.239	At line '53' in file ''	 Word adversari is in 1 documents
2017-1-15T11.19.29.239	At line '53' in file ''	 Word angloamerican is in 1 documents
2017-1-15T11.19.29.239	At line '53' in file ''	 Word welldevelop is in 1 documents
2017-1-15T11.19.29.239	At line '53' in file ''	 Word notwithstand is in 1 documents
2017-1-15T11.19.29.240	At line '53' in file ''	 Word engag is in 1 documents
2017-1-15T11.19.29.240	At line '53' in file ''	 Word discov is in 1 documents
2017-1-15T11.19.29.240	At line '53' in file ''	 Word tri is in 1 documents
2017-1-15T11.19.29.240	At line '53' in file ''	 Word alia is in 1 documents
2017-1-15T11.19.29.241	At line '53' in file ''	 Word inter is in 1 documents
2017-1-15T11.19.29.244	At line '53' in file ''	 Word encompass is in 3 documents
2017-1-15T11.19.29.244	At line '53' in file ''	 Word apart is in 1 documents
2017-1-15T11.19.29.244	At line '53' in file ''	 Word continent is in 1 documents
2017-1-15T11.19.29.244	At line '53' in file ''	 Word wrongdoer is in 1 documents
2017-1-15T11.19.29.244	At line '53' in file ''	 Word guilt is in 1 documents
2017-1-15T11.19.29.245	At line '53' in file ''	 Word visàvi is in 1 documents
2017-1-15T11.19.29.245	At line '53' in file ''	 Word screen is in 1 documents
2017-1-15T11.19.29.245	At line '53' in file ''	 Word conserv is in 1 documents
2017-1-15T11.19.29.245	At line '53' in file ''	 Word pleabargain is in 1 documents
2017-1-15T11.19.29.246	At line '53' in file ''	 Word contemporari is in 1 documents
2017-1-15T11.19.29.246	At line '53' in file ''	 Word dealt is in 1 documents
2017-1-15T11.19.29.247	At line '53' in file ''	 Word entail is in 1 documents
2017-1-15T11.19.29.247	At line '53' in file ''	 Word nonparti is in 1 documents
2017-1-15T11.19.29.247	At line '53' in file ''	 Word counsel is in 1 documents
2017-1-15T11.19.29.247	At line '53' in file ''	 Word costintern is in 1 documents
2017-1-15T11.19.29.247	At line '53' in file ''	 Word hear is in 1 documents
2017-1-15T11.19.29.248	At line '53' in file ''	 Word lose is in 1 documents
2017-1-15T11.19.29.248	At line '53' in file ''	 Word enabl is in 1 documents
2017-1-15T11.19.29.248	At line '53' in file ''	 Word bind is in 1 documents
2017-1-15T11.19.29.248	At line '53' in file ''	 Word lawsuit is in 1 documents
2017-1-15T11.19.29.249	At line '53' in file ''	 Word represent is in 2 documents
2017-1-15T11.19.29.249	At line '53' in file ''	 Word arbitrat is in 1 documents
2017-1-15T11.19.29.249	At line '53' in file ''	 Word viabl is in 1 documents
2017-1-15T11.19.29.249	At line '53' in file ''	 Word preced is in 2 documents
2017-1-15T11.19.29.249	At line '53' in file ''	 Word customari is in 2 documents
2017-1-15T11.19.29.250	At line '53' in file ''	 Word arbitrationlitig is in 1 documents
2017-1-15T11.19.29.250	At line '53' in file ''	 Word commerci is in 1 documents
2017-1-15T11.19.29.250	At line '53' in file ''	 Word arbitr is in 1 documents
2017-1-15T11.19.29.250	At line '53' in file ''	 Word notion is in 2 documents
2017-1-15T11.19.29.251	At line '53' in file ''	 Word nonspecialist is in 1 documents
2017-1-15T11.19.29.251	At line '53' in file ''	 Word notterriblytechn is in 1 documents
2017-1-15T11.19.29.251	At line '53' in file ''	 Word gametheoret is in 1 documents
2017-1-15T11.19.29.251	At line '53' in file ''	 Word paper is in 4 documents
2017-1-15T11.19.29.251	At line '53' in file ''	 Word variat is in 1 documents
2017-1-15T11.19.29.252	At line '53' in file ''	 Word pretrial is in 3 documents
2017-1-15T11.19.29.252	At line '53' in file ''	 Word instruct is in 1 documents
2017-1-15T11.19.29.252	At line '53' in file ''	 Word prosecut is in 1 documents
2017-1-15T11.19.29.253	At line '53' in file ''	 Word malici is in 1 documents
2017-1-15T11.19.29.253	At line '53' in file ''	 Word victori is in 1 documents
2017-1-15T11.19.29.253	At line '53' in file ''	 Word negoti is in 3 documents
2017-1-15T11.19.29.254	At line '53' in file ''	 Word trial is in 2 documents
2017-1-15T11.19.29.254	At line '53' in file ''	 Word expend is in 1 documents
2017-1-15T11.19.29.254	At line '53' in file ''	 Word indemnif is in 1 documents
2017-1-15T11.19.29.254	At line '53' in file ''	 Word companion is in 2 documents
2017-1-15T11.19.29.255	At line '53' in file ''	 Word collegi is in 2 documents
2017-1-15T11.19.29.255	At line '53' in file ''	 Word appel is in 1 documents
2017-1-15T11.19.29.255	At line '53' in file ''	 Word issue is in 1 documents
2017-1-15T11.19.29.256	At line '53' in file ''	 Word discoveri is in 2 documents
2017-1-15T11.19.29.256	At line '53' in file ''	 Word depth is in 1 documents
2017-1-15T11.19.29.256	At line '53' in file ''	 Word backward is in 1 documents
2017-1-15T11.19.29.256	At line '53' in file ''	 Word revers is in 1 documents
2017-1-15T11.19.29.256	At line '53' in file ''	 Word net is in 1 documents
2017-1-15T11.19.29.261	At line '53' in file ''	 Word such is in 1 documents
2017-1-15T11.19.29.261	At line '53' in file ''	 Word settl is in 1 documents
2017-1-15T11.19.29.261	At line '53' in file ''	 Word file is in 1 documents
2017-1-15T11.19.29.262	At line '53' in file ''	 Word alter is in 1 documents
2017-1-15T11.19.29.262	At line '53' in file ''	 Word nullifi is in 1 documents
2017-1-15T11.19.29.262	At line '53' in file ''	 Word threshold is in 1 documents
2017-1-15T11.19.29.262	At line '53' in file ''	 Word cross is in 1 documents
2017-1-15T11.19.29.262	At line '53' in file ''	 Word burdensom is in 1 documents
2017-1-15T11.19.29.263	At line '53' in file ''	 Word ever is in 2 documents
2017-1-15T11.19.29.263	At line '53' in file ''	 Word pertain is in 1 documents
2017-1-15T11.19.29.263	At line '53' in file ''	 Word emin is in 1 documents
2017-1-15T11.19.29.263	At line '53' in file ''	 Word riskshar is in 1 documents
2017-1-15T11.19.29.263	At line '53' in file ''	 Word welldefin is in 1 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word status is in 2 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word alternat is in 1 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word record is in 1 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word shock is in 1 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word suit is in 2 documents
2017-1-15T11.19.29.264	At line '53' in file ''	 Word yield is in 1 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word popul is in 1 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word payment is in 2 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word payasyougo is in 1 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word survivor is in 1 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word annuiti is in 1 documents
2017-1-15T11.19.29.265	At line '53' in file ''	 Word accumul is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word save is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word capitalreserv is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word fund is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word cycl is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word retir is in 1 documents
2017-1-15T11.19.29.266	At line '53' in file ''	 Word phase is in 1 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word pension is in 1 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word redistribut is in 2 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word plan is in 2 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word using is in 1 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word infrastructur is in 1 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word avail is in 1 documents
2017-1-15T11.19.29.267	At line '53' in file ''	 Word incorpor is in 2 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word secondbest is in 2 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word holiday is in 1 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word unpaid is in 1 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word spare is in 1 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word treati is in 2 documents
2017-1-15T11.19.29.268	At line '53' in file ''	 Word attract is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word export is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word total is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word intracompani is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word nontax is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word vari is in 1 documents
2017-1-15T11.19.29.269	At line '53' in file ''	 Word magnitud is in 2 documents
2017-1-15T11.19.29.270	At line '53' in file ''	 Word financ is in 2 documents
2017-1-15T11.19.29.270	At line '53' in file ''	 Word locat is in 1 documents
2017-1-15T11.19.29.270	At line '53' in file ''	 Word administr is in 2 documents
2017-1-15T11.19.29.270	At line '53' in file ''	 Word destin is in 1 documents
2017-1-15T11.19.29.271	At line '53' in file ''	 Word resid is in 1 documents
2017-1-15T11.19.29.271	At line '53' in file ''	 Word generationskippingtransf is in 1 documents
2017-1-15T11.19.29.271	At line '53' in file ''	 Word implement is in 1 documents
2017-1-15T11.19.29.271	At line '53' in file ''	 Word interspous is in 1 documents
2017-1-15T11.19.29.272	At line '53' in file ''	 Word unif is in 1 documents
2017-1-15T11.19.29.272	At line '53' in file ''	 Word subsid is in 1 documents
2017-1-15T11.19.29.272	At line '53' in file ''	 Word thing is in 1 documents
2017-1-15T11.19.29.272	At line '53' in file ''	 Word gift is in 1 documents
2017-1-15T11.19.29.273	At line '53' in file ''	 Word exposit is in 1 documents
2017-1-15T11.19.29.273	At line '53' in file ''	 Word descript is in 1 documents
2017-1-15T11.19.29.273	At line '53' in file ''	 Word rudimentari is in 1 documents
2017-1-15T11.19.29.274	At line '53' in file ''	 Word outgrowth is in 1 documents
2017-1-15T11.19.29.274	At line '53' in file ''	 Word coverag is in 1 documents
2017-1-15T11.19.29.274	At line '53' in file ''	 Word almost is in 1 documents
2017-1-15T11.19.29.275	At line '53' in file ''	 Word appproach is in 1 documents
2017-1-15T11.19.29.275	At line '53' in file ''	 Word chronolog is in 2 documents
2017-1-15T11.19.29.275	At line '53' in file ''	 Word incom is in 5 documents
2017-1-15T11.19.29.276	At line '53' in file ''	 Word compon is in 1 documents
2017-1-15T11.19.29.277	At line '53' in file ''	 Word trace is in 2 documents
2017-1-15T11.19.29.277	At line '53' in file ''	 Word date is in 1 documents
2017-1-15T11.19.29.277	At line '53' in file ''	 Word renter is in 1 documents
2017-1-15T11.19.29.277	At line '53' in file ''	 Word fix is in 2 documents
2017-1-15T11.19.29.278	At line '53' in file ''	 Word propos is in 3 documents
2017-1-15T11.19.29.278	At line '53' in file ''	 Word thirti is in 1 documents
2017-1-15T11.19.29.278	At line '53' in file ''	 Word slice is in 1 documents
2017-1-15T11.19.29.279	At line '53' in file ''	 Word georg is in 1 documents
2017-1-15T11.19.29.279	At line '53' in file ''	 Word ricardo is in 1 documents
2017-1-15T11.19.29.279	At line '53' in file ''	 Word physciocrat is in 1 documents
2017-1-15T11.19.29.279	At line '53' in file ''	 Word french is in 1 documents
2017-1-15T11.19.29.280	At line '53' in file ''	 Word noncompli is in 1 documents
2017-1-15T11.19.29.280	At line '53' in file ''	 Word evas is in 2 documents
2017-1-15T11.19.29.280	At line '53' in file ''	 Word inflat is in 1 documents
2017-1-15T11.19.29.280	At line '53' in file ''	 Word equival is in 2 documents
2017-1-15T11.19.29.281	At line '53' in file ''	 Word barroricardo is in 1 documents
2017-1-15T11.19.29.281	At line '53' in file ''	 Word countercycl is in 1 documents
2017-1-15T11.19.29.282	At line '53' in file ''	 Word crucial is in 2 documents
2017-1-15T11.19.29.282	At line '53' in file ''	 Word budget is in 1 documents
2017-1-15T11.19.29.282	At line '53' in file ''	 Word macro is in 1 documents
2017-1-15T11.19.29.282	At line '53' in file ''	 Word telephon is in 1 documents
2017-1-15T11.19.29.283	At line '53' in file ''	 Word reliabl is in 1 documents
2017-1-15T11.19.29.283	At line '53' in file ''	 Word distortionari is in 1 documents
2017-1-15T11.19.29.283	At line '53' in file ''	 Word a is in 1 documents
2017-1-15T11.19.29.283	At line '53' in file ''	 Word governmentown is in 1 documents
2017-1-15T11.19.29.284	At line '53' in file ''	 Word either is in 2 documents
2017-1-15T11.19.29.284	At line '53' in file ''	 Word railroad is in 1 documents
2017-1-15T11.19.29.285	At line '53' in file ''	 Word televis is in 1 documents
2017-1-15T11.19.29.285	At line '53' in file ''	 Word cabl is in 1 documents
2017-1-15T11.19.29.285	At line '53' in file ''	 Word telecommun is in 1 documents
2017-1-15T11.19.29.286	At line '53' in file ''	 Word electr is in 1 documents
2017-1-15T11.19.29.286	At line '53' in file ''	 Word revel is in 1 documents
2017-1-15T11.19.29.286	At line '53' in file ''	 Word farmer is in 1 documents
2017-1-15T11.19.29.286	At line '53' in file ''	 Word agricultur is in 1 documents
2017-1-15T11.19.29.287	At line '53' in file ''	 Word simpl is in 2 documents
2017-1-15T11.19.29.287	At line '53' in file ''	 Word togeth is in 1 documents
2017-1-15T11.19.29.287	At line '53' in file ''	 Word here is in 1 documents
2017-1-15T11.19.29.288	At line '53' in file ''	 Word livestock is in 1 documents
2017-1-15T11.19.29.288	At line '53' in file ''	 Word tenanc is in 1 documents
2017-1-15T11.19.29.289	At line '53' in file ''	 Word dispar is in 1 documents
2017-1-15T11.19.29.289	At line '53' in file ''	 Word barrier is in 1 documents
2017-1-15T11.19.29.289	At line '53' in file ''	 Word nondiscrimin is in 1 documents
2017-1-15T11.19.29.290	At line '53' in file ''	 Word troubl is in 1 documents
2017-1-15T11.19.29.290	At line '53' in file ''	 Word subsidi is in 1 documents
2017-1-15T11.19.29.290	At line '53' in file ''	 Word antidump is in 1 documents
2017-1-15T11.19.29.290	At line '53' in file ''	 Word hostag is in 1 documents
2017-1-15T11.19.29.291	At line '53' in file ''	 Word reciproc is in 1 documents
2017-1-15T11.19.29.291	At line '53' in file ''	 Word econometr is in 1 documents
2017-1-15T11.19.29.291	At line '53' in file ''	 Word store is in 1 documents
2017-1-15T11.19.29.294	At line '53' in file ''	 Word run is in 1 documents
2017-1-15T11.19.29.294	At line '53' in file ''	 Word franchisor is in 1 documents
2017-1-15T11.19.29.295	At line '53' in file ''	 Word transactioncost is in 1 documents
2017-1-15T11.19.29.295	At line '53' in file ''	 Word capitalstructur is in 1 documents
2017-1-15T11.19.29.296	At line '53' in file ''	 Word transactionscost is in 1 documents
2017-1-15T11.19.29.296	At line '53' in file ''	 Word unansw is in 1 documents
2017-1-15T11.19.29.296	At line '53' in file ''	 Word differenti is in 2 documents
2017-1-15T11.19.29.296	At line '53' in file ''	 Word spillov is in 1 documents
2017-1-15T11.19.29.297	At line '53' in file ''	 Word crossnat is in 1 documents
2017-1-15T11.19.29.297	At line '53' in file ''	 Word wherea is in 1 documents
2017-1-15T11.19.29.297	At line '53' in file ''	 Word strategi is in 1 documents
2017-1-15T11.19.29.297	At line '53' in file ''	 Word freerid is in 1 documents
2017-1-15T11.19.29.297	At line '53' in file ''	 Word nation is in 3 documents
